"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_TOOLTIP_TELEPORTMANAGER","Manage teleport presets","Manage teleport presets","Spravovat teleportovací presety","Teleport-Presets verwalten","Управление пресетами телепорта","Zarządzaj presetami teleportów","Teleport presetek kezelése","Gestisci preset di teletrasporto","Gestionar presets de teletransporte","Gérer les presets de téléportation","管理傳送預設","テレポートのプリセットを管理","Gerenciar presets de teleporte","管理传送预设",
"VSTR_TOOLTIP_COMMANDSMENU","Execute and use shortcut commands!","Execute and use shortcut commands!","Spouštět a používat zkratkové příkazy!","Schnellbefehle ausführen und verwenden!","Выполнять и использовать быстрые команды!","Wykonuj i używaj skrótowych komend!","Gyorsparancsok futtatása és használata!","Esegui e usa comandi rapidi!","¡Ejecutar y usar comandos rápidos!","Exécuter et utiliser des commandes rapides!","執行與使用快捷指令!","クイックコマンドを実行して使用!","Executar e usar comandos rápidos!","执行并使用快捷命令！",
"VSTR_TOOLTIP_SERVERMANAGER","Control Server settings","Control Server settings","Ovládat nastavení serveru","Servereinstellungen steuern","Управление настройками сервера","Kontroluj ustawienia serwera","Szerverbeállítások vezérlése","Controlla le impostazioni del server","Controlar ajustes del servidor","Contrôler les paramètres du serveur","控制伺服器設定","サーバー設定を制御","Controlar as configurações do servidor","控制服务器设置",
"VSTR_TOOLTIP_WEATHERMANAGER","Manage server weather settings","Manage server weather settings","Spravovat nastavení počasí na serveru","Server-Wettereinstellungen verwalten","Управление настройками погоды сервера","Zarządzaj ustawieniami pogody serwera","Szerver időjárás-beállításainak kezelése","Gestisci le impostazioni meteo del server","Gestionar ajustes de clima del servidor","Gérer les paramètres météo du serveur","管理伺服器天氣設定","サーバーの天気設定を管理","Gerenciar as configurações de clima do servidor","管理服务器天气设置",
"VSTR_TOOLTIP_OBJMANAGER","Place custom mission objects","Place custom mission objects","Umísťovat vlastní objekty mise","Eigene Missionsobjekte platzieren","Размещать пользовательские объекты миссии","Umieszczaj własne obiekty misji","Egyedi küldetésobjektumok elhelyezése","Posiziona oggetti missione personalizzati","Colocar objetos de misión personalizados","Placer des objets de mission personnalisés","放置自訂任務物件","カスタムのミッションオブジェクトを配置","Posicionar objetos de missão personalizados","放置自定义任务对象",
"VSTR_TOOLTIP_BANSMANAGER","Manage V++ Server ban list","Manage V++ Server ban list","Spravovat V++ ban list serveru","V++ Server-Bannliste verwalten","Управление бан‑листом сервера V++","Zarządzaj ban‑listą serwera V++","V++ szerver tiltólista kezelése","Gestisci la ban list del server V++","Gestionar la ban list del servidor V++","Gérer la ban list du serveur V++","管理工具伺服器的封禁清單","V++ サーバーの BAN リストを管理","Gerenciar a ban list do servidor V++","管理工具服务器封禁列表",
"VSTR_TOOLTIP_PERMSEDITOR","Manage toolset permissions & roles","Manage toolset permissions & roles","Spravovat oprávnění a role nástrojů","Toolset-Berechtigungen & Rollen verwalten","Управление правами и ролями набора инструментов","Zarządzaj uprawnieniami i rolami zestawu narzędzi","Eszközkészlet jogosultságainak és szerepköreinek kezelése","Gestisci autorizzazioni e ruoli del toolset","Gestionar permisos y roles del conjunto de herramientas","Gérer les autorisations et rôles du toolset","管理工具組的權限與角色","ツールセットの権限とロールを管理","Gerenciar permissões e papéis do conjunto de ferramentas","管理工具集权限与角色",
"VSTR_TOOLTIP_WEBHOOKS","Create and edit webhooks that offload log data. (Currently supports discord only)","Create and edit webhooks that offload log data. (Currently supports discord only)","Vytvářet a upravovat webhooky pro odesílání logů. (Aktuálně podporuje pouze Discord)","Webhooks zum Auslagern von Logs erstellen und bearbeiten. (Unterstützt derzeit nur Discord)","Создавать и редактировать WebHooks для выгрузки логов. (В данный момент поддерживается только Discord)","Twórz i edytuj WebHooks odciążające logi. (Obecnie obsługiwany tylko Discord)","Naplóadatok továbbítására szolgáló WebHookok létrehozása és szerkesztése. (Jelenleg csak a Discord támogatott)","Crea e modifica WebHooks che scaricano i log. (Attualmente supporta solo Discord)","Crear y editar WebHooks que descargan logs. (Actualmente solo admite Discord)","Créer et modifier des WebHooks pour déporter les logs. (Actuellement, seul Discord est pris en charge)","建立與編輯用於外送日誌的 WebHooks。（目前僅支援 Discord）","ログを外部に送るための WebHooks を作成・編集（現在は Discord のみ対応）","Criar e editar WebHooks para descarregar logs. (Atualmente apenas Discord é suportado)","创建与编辑用于卸载日志数据的 WebHooks（目前仅支持 Discord）",
"VSTR_TOOLTIP_XMLEDITOR","Edit types.xml and check loot status on server!","Edit types.xml and check loot status on server!","Upravovat types.xml a kontrolovat stav lootu na serveru!","types.xml bearbeiten und Loot-Status auf dem Server prüfen!","Редактировать types.xml и проверять состояние лута на сервере!","Edytuj types.xml i sprawdź status lootu na serwerze!","types.xml szerkesztése és a loot állapotának ellenőrzése a szerveren!","Modifica types.xml e controlla lo stato del loot sul server!","Editar types.xml y comprobar el estado del loot en el servidor!","Modifier types.xml et vérifier l'état du loot sur le serveur!","編輯 types.xml 並檢查伺服器上的戰利品狀態!","types.xml を編集し、サーバー上のルート状況を確認!","Editar types.xml e verificar o status de loot no servidor!","编辑 types.xml 并检查服务器上的战利品状态！",
"VSTR_TOOLTIP_TITLE","Information:","Information:","Informace:","Informationen:","Информация:","Informacje:","Információ:","Informazioni:","Información:","Informations:","資訊:","情報:","Informações:","信息：",
"VSTR_TOOLTIP_BAN_TIP","Set the unban date of when the selected ban gets revoked/removed.The date is based-off the time set on the machine this DayZ server is running on.","Set the unban date of when the selected ban gets revoked/removed.The date is based-off the time set on the machine this DayZ server is running on.","Nastavte datum unbanu, kdy bude vybraný ban zrušen/odebrán. Datum vychází z času nastaveného na stroji, na kterém běží tento DayZ server.","Lege das Unban-Datum fest, wann der ausgewählte Bann aufgehoben/entfernt wird. Das Datum basiert auf der Uhrzeit des Rechners, auf dem dieser DayZ-Server läuft.","Установите дату разбана, когда выбранный бан будет отменён/удалён. Дата берётся с машины, на которой запущен этот сервер DayZ.","Ustaw datę odbanowania, kiedy wybrany ban zostanie cofnięty/usunięty. Data opiera się na czasie maszyny, na której działa ten serwer DayZ.","Állítsd be az unban dátumát, amikor a kiválasztott tiltás megszűnik/eltávolításra kerül. A dátum annak a gépnek az idején alapul, amelyen ez a DayZ szerver fut.","Imposta la data di unban in cui il ban selezionato viene revocato/rimosso. La data si basa sull'ora della macchina su cui gira questo server DayZ.","Establece la fecha de desbaneo cuando el ban seleccionado será revocado/eliminado. La fecha se basa en la hora de la máquina donde se ejecuta este servidor de DayZ.","Définissez la date d'unban à laquelle le ban sélectionné sera levé/supprimé. La date est basée sur l'heure de la machine qui exécute ce serveur DayZ.","設定解除封禁日期，於該日期將移除所選封禁。日期以執行此 DayZ 伺服器之機器的時間為準。","選択した BAN を解除/削除する Unban 日付を設定します。日時はこの DayZ サーバーを実行しているマシンの時刻に基づきます。","Defina a data de unban quando o ban selecionado será revogado/removido. A data é baseada no horário da máquina que executa este servidor DayZ.","设置解除封禁日期，于该日期将移除所选封禁。日期以运行此 DayZ 服务器的机器时间为准。",
"VSTR_TOOLTIP_BANS_DETIALS","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","The 'Details Panel' will only show data if ONE entry from the ban list is selected!<br/>You are able to edit multiple bans at once (ban reason & expiration date)","「詳細資訊面板」僅在封禁清單中只選取一筆時才會顯示資料!<br/>您可以同時編輯多個封禁（封禁原因與到期日）","「詳細パネル」は BAN リストから1件のみ選択されている場合にだけデータを表示します!<br/>複数の BAN を同時に編集できます（BAN の理由と有効期限）","O 'Painel de Detalhes' mostrará dados apenas se HOUVER UMA entrada selecionada na ban list!<br/>Você pode editar vários bans de uma vez (motivo do ban e data de expiração)","仅当从封禁列表中选择一个条目时，"详细信息面板"才会显示数据！<br/>您可以同时编辑多个封禁（封禁原因与到期日期）",
"VSTR_Q_UNBAN","Are you sure you wish to unban selected player(s) from the server?","Are you sure you wish to unban selected player(s) from the server?","Opravdu chcete unbanovat vybrané hráče ze serveru?","Möchtest du die ausgewählten Spieler wirklich auf dem Server entbannen?","Вы уверены, что хотите разбанить выбранных игроков на сервере?","Czy na pewno chcesz odbanować wybranego(-ych) gracza(-y) na serwerze?","Biztosan szeretnéd feloldani a kiválasztott játékos(ok) tiltását a szerveren?","Sei sicuro di voler unbannare i giocatori selezionati dal server?","¿Seguro que quieres desbanear a los jugadores seleccionados del servidor?","Êtes-vous sûr de vouloir unban les joueurs sélectionnés du serveur?","確定要在伺服器上解除選取玩家的封禁?","本当に選択したプレイヤーをサーバーで Unban しますか?","Tem certeza de que deseja desbanir os jogadores selecionados do servidor?","确定要在服务器上解除所选玩家的封禁吗？",
"VSTR_UNBAN","Unban","Unban","Unban","Entbannen","Разбан","Odbanuj","Unban","Unban","Desbanear","Unban","解除封禁","Unban","Desbanir","解除封禁",
